scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
lookup,sorted,ordinary_bst,250,5,262186796,250,21042,84.168000,250,16024,6245426672661515401
lookup,sorted,ordinary_bst,250,6,262187052,250,18125,72.500000,250,16024,3253250454656263291
lookup,sorted,sorted_vector,250,6,262187052,250,5917,23.668000,,16022,3253250454656263291
lookup,sorted,red_black_tree,250,6,262187052,250,9292,37.168000,13,18104,3253250454656263291
build,random,red_black_tree,250,0,262185552,250,11875,47.500000,10,18104,11848659040478790818
build,random,ordinary_bst,250,0,262185552,250,9958,39.832000,18,16024,11848659040478790818
build,random,sorted_vector,250,0,262185552,250,17167,68.668000,,16022,11848659040478790818
build,random,ordinary_bst,250,1,262185808,250,9750,39.000000,13,16024,11848659040478790818
build,random,sorted_vector,250,1,262185808,250,18250,73.000000,,16022,11848659040478790818
build,random,red_black_tree,250,1,262185808,250,12333,49.332000,10,18104,11848659040478790818
build,random,sorted_vector,250,2,262186064,250,18250,73.000000,,16022,11848659040478790818
build,random,ordinary_bst,250,2,262186064,250,9291,37.164000,18,16024,11848659040478790818
build,random,red_black_tree,250,2,262186064,250,12333,49.332000,10,18104,11848659040478790818
build,random,red_black_tree,250,3,262186320,250,11958,47.832000,10,18104,11848659040478790818
build,random,ordinary_bst,250,3,262186320,250,10125,40.500000,16,16024,11848659040478790818
build,random,sorted_vector,250,3,262186320,250,17625,70.500000,,16022,11848659040478790818
build,random,ordinary_bst,250,4,262186576,250,20041,80.164000,16,16024,11848659040478790818
build,random,sorted_vector,250,4,262186576,250,39750,159.000000,,16022,11848659040478790818
build,random,red_black_tree,250,4,262186576,250,26125,104.500000,10,18104,11848659040478790818
build,random,red_black_tree,250,5,262186832,250,25792,103.168000,9,18104,11848659040478790818
build,random,sorted_vector,250,5,262186832,250,37333,149.332000,,16022,11848659040478790818
build,random,ordinary_bst,250,5,262186832,250,20125,80.500000,20,16024,11848659040478790818
build,random,red_black_tree,250,6,262187088,250,25375,101.500000,10,18104,11848659040478790818
build,random,ordinary_bst,250,6,262187088,250,20542,82.168000,18,16024,11848659040478790818
build,random,sorted_vector,250,6,262187088,250,38500,154.000000,,16022,11848659040478790818
lookup,random,ordinary_bst,250,0,262185517,250,15666,62.664000,17,16024,3213203379833004646
lookup,random,sorted_vector,250,0,262185517,250,11750,47.000000,,16022,3213203379833004646
lookup,random,red_black_tree,250,0,262185517,250,14458,57.832000,10,18104,3213203379833004646
lookup,random,ordinary_bst,250,1,262185773,250,14292,57.168000,17,16024,9484351791742728227
